	preSwitchB/CD19pos	switchB/CD19pos	CD45pos/PBMC	transitionals/naiveB	BCells/CD45pos	IgApos/switchB	naiveB/CD19pos	exhaustedB/CD19pos	plasmablasts/switchB
9601528	0.0697	0.173	0.998	0.059	0.092	0.388	0.695	0.0625	0.0359
9601533	0.204	0.198	0.995	0.0641	0.0565	0.187	0.485	0.112	0.0218
9601646	0.0926	0.143	0.999	0.0733999999999999	0.0585	0.379	0.736	0.0281	0.0859
9601557	0.0759	0.124	0.994	0.127	0.03	0.349	0.759	0.0415	0.186
9601559	0.0569	0.157	0.999	0.0935	0.0352	0.385	0.703	0.0824	0.1669999999999999
9601562	0.12	0.124	0.998	0.131	0.0165	0.418	0.6829999999999999	0.0728	0.464
9601565	0.213	0.0872	0.993	0.115	0.0516	0.292	0.6679999999999999	0.0313	0.0283
9601581	0.0602	0.333	0.997	0.087	0.0582	0.357	0.56	0.0474	0.778
9601583	0.0552	0.105	0.997	0.0666	0.0688	0.462	0.7909999999999999	0.0488	0.0623
9601591	0.121	0.287	0.984	0.0182	0.115	0.064	0.523	0.0693	0.0328
9601598	0.18	0.135	0.999	0.0676	0.094	0.416	0.6559999999999999	0.0287	0.0435
9601599	0.0556	0.0902	0.999	0.0791	0.113	0.418	0.8190000000000001	0.0353	0.0401999999999999
9601618	0.0538	0.0382	0.999	0.0916	0.18	0.385	0.887	0.0213	0.15
9601628	0.0448	0.249	0.997	0.116	0.0664	0.434	0.609	0.0969	0.0551
9601695	0.193	0.145	0.99	0.0658	0.0489	0.346	0.623	0.0388	0.0959
9601710	0.102	0.148	0.982	0.0254	0.0704	0.42	0.693	0.0574	0.0448
9259786	0.136	0.257	0.998	0.0796	0.0613	0.345	0.551	0.0561	0.0337
9602900	0.0523	0.0518	0.997	0.0389	0.0647	0.361	0.865	0.0312	0.0297
9601725	0.134	0.1639999999999999	0.995	0.0409	0.0325	0.309	0.647	0.0557	0.135
9601734	0.117	0.24	0.997	0.0185	0.0478	0.487	0.537	0.106	0.064
9601736	0.0577	0.124	0.996	0.0325	0.0369	0.328	0.764	0.0538	0.105
9601749	0.0579	0.182	0.999	0.0816	0.101	0.459	0.715	0.0452	0.163
9601757	0.04	0.0776999999999999	0.998	0.0824	0.0554	0.369	0.855	0.0271	0.116
9601775	0.0806	0.0526	0.993	0.0452	0.1689999999999999	0.368	0.85	0.0165	0.0361
9601777	0.119	0.237	0.996	0.0678	0.0788	0.3229999999999999	0.541	0.102	0.0417
9601794	0.106	0.142	0.998	0.0552	0.0694	0.328	0.7	0.0526	0.0547
9601828	0.147	0.1689999999999999	0.975	0.0478	0.0637	0.387	0.65	0.0332	0.0519
9601831	0.106	0.207	0.994	0.0295	0.0831	0.412	0.6459999999999999	0.0401999999999999	0.0286
9601836	0.1639999999999999	0.16	0.993	0.0585	0.104	0.223	0.609	0.067	0.0536
9601937	0.116	0.138	0.996	0.0148	0.0498	0.356	0.6759999999999999	0.0708	0.0374
9601941	0.13	0.0868	0.997	0.129	0.0793	0.083	0.144	0.639	0.0599
9601955	0.306	0.107	0.997	0.0665	0.0809	0.306	0.555	0.0321	0.0679
9601957	0.112	0.0706	0.995	0.0523	0.0776999999999999	0.283	0.759	0.0585	0.0347
9601958	0.234	0.22	0.996	0.064	0.0336	0.411	0.465	0.0819	0.0616
9601965	0.16	0.274	0.993	0.128	0.0567	0.293	0.469	0.0973	0.0091
9601966	0.21	0.189	0.995	0.107	0.0801	0.0739	0.574	0.0277	0.0095
9601969	0.144	0.175	0.996	0.0737	0.124	0.354	0.631	0.0507	0.0141
9601974	0.0932	0.0345	0.996	0.125	0.24	0.0543	0.852	0.0205	0.0264
9601978	0.135	0.0833	0.996	0.105	0.0779	0.0713	0.7559999999999999	0.0253	0.0357
9601985	0.0635	0.252	0.996	0.0834999999999999	0.0358	0.514	0.611	0.0729	0.316
9601987	0.17	0.171	0.996	0.0907	0.0469	0.473	0.607	0.0515	0.0689
9601988	0.1639999999999999	0.163	0.998	0.0625	0.0292	0.439	0.637	0.036	0.266
9601989	0.0841	0.147	0.991	0.0311	0.032	0.4370000000000001	0.72	0.0496	0.126
9601992	0.139	0.204	0.997	0.0489	0.0283	0.389	0.584	0.0727	0.127
